IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.162.49,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,26.25
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,24.13
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,23.90
8.210.101.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,23.34
8.218.18.132,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,22.55
47.76.49.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,22.52
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,51,22.27
8.210.156.6,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,22.11
8.218.174.118,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,22.02
8.217.167.88,80,80,false,HKG,Asia Pacific,Hong Kong,44,21.68
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,21.58
8.217.248.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,21.40
8.218.18.132,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,20.90
47.245.10.123,8880,8880,false,NRT,Asia Pacific,Tokyo,61,20.69
8.218.18.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,50,20.65
8.218.18.132,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,20.64
47.74.41.87,2052,2052,false,NRT,Asia Pacific,Tokyo,57,20.59
8.210.151.69,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,20.48
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,20.45
8.218.201.73,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,20.42
47.76.49.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,20.31
47.74.9.174,8080,8080,false,NRT,Asia Pacific,Tokyo,58,20.30
47.245.54.98,2095,2095,false,NRT,Asia Pacific,Tokyo,62,20.19
47.91.3.112,8080,8080,false,NRT,Asia Pacific,Tokyo,62,19.92
8.218.136.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,19.56
47.76.146.1,443,443,true,HKG,Asia Pacific,Hong Kong,45,19.45
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,38,19.28
8.218.146.204,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,19.24
8.209.214.222,2052,2052,false,NRT,Asia Pacific,Tokyo,64,19.24
8.218.243.95,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,19.23
8.217.91.121,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,19.21
8.209.212.5,2087,2087,true,NRT,Asia Pacific,Tokyo,61,18.87
47.245.12.38,2053,2053,true,NRT,Asia Pacific,Tokyo,63,18.84
47.74.41.87,80,80,false,NRT,Asia Pacific,Tokyo,57,18.83
8.217.250.5,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,18.80
47.91.3.112,80,80,false,NRT,Asia Pacific,Tokyo,66,18.47
